imdb_id,year,title,type,duration,director,description
tt8632862,2018,Fahrenheit 11/9,Movie,128,Michael Moore,"Filmmaker Michael Moore examines the current state of American politics, particularly the Donald J. Trump presidency and gun violence, while highlighting the power of grassroots democratic movements."
tt7775622,2018,Free Solo,Movie,100,Jimmy Chin,"Follow Alex Honnold as he becomes the first person to ever free solo climb Yosemite's 3,000ft high El Capitan Wall. With no ropes or safety gear, he completed arguably the greatest feat in rock climbing history."
tt7775622,2018,Free Solo,Movie,100,Elizabeth Chai Vasarhelyi ,"Follow Alex Honnold as he becomes the first person to ever free solo climb Yosemite's 3,000ft high El Capitan Wall. With no ropes or safety gear, he completed arguably the greatest feat in rock climbing history."
tt7681902,2018,Won't You Be My Neighbor?,Movie,94,Morgan Neville,"An exploration of the life, lessons, and legacy of iconic children's television host, Fred Rogers."
tt7363336,2018,Tea with the Dames,Movie,84,Roger Michell,"Dames Eileen Atkins, Judi Dench, Joan Plowright and Maggie Smith have let the cameras in on a friendship that goes back more than half a century. The four acting greats discuss their ... See full summary »"
tt7664504,2018,Three Identical Strangers,Movie,96,Tim Wardle,"In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. Then they discover why."
tt5424228,2018,"Love, Gilda",Movie,88,Lisa Dapolito,"In her own words, comedienne Gilda Radner looks back and reflects on her life and career. Weaving together recently discovered audiotapes, interviews with her friends, rare home movies and ... See full summary »"
tt7286916,2017,The Dawn Wall,Movie,100,Josh Lowell,Legendary free climber Tommy Caldwell tries to get over heartbreak by scaling 3000ft of an impossible rock face: the Dawn Wall of El Capitan.
tt7286916,2017,The Dawn Wall,Movie,100,Peter Mortimer,Legendary free climber Tommy Caldwell tries to get over heartbreak by scaling 3000ft of an impossible rock face: the Dawn Wall of El Capitan.
tt8135494,2018,Active Measures,Movie,109,Jack Bryan,Russian president Vladimir Putin attacks the 2016 American presidential election in collaboration with the Trump campaign.
tt8399718,2018,Hunt For The Skinwalker,Movie,127,Jeremy Kenyon Lockyer Corbell,Hunt For The Skinwalker is a documentary about the most intensive scientific study of a UFO and paranormal hotspot in human history.
tt7440432,2018,Quincy,Movie,124,Alan Hicks,"An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America."
tt7440432,2018,Quincy,Movie,124,Rashida Jones,"An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America."
tt7207238,2017,Jane,Movie,90,Brett Morgen,"The life and work of the renowned primatology scientist, Jane Goodall, especially on her research about chimpanzees."
tt8948614,2018,Reversing Roe,Movie,99,Ricki Stern,"A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America."
tt8948614,2018,Reversing Roe,Movie,99,Anne Sundberg,"A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America."
tt8420442,2018,American Chaos,Movie,90,James D. Stern,A man searches for answers to Donald Trump's widespread support before the 2016 presidential election.
tt5913184,2018,Spitfire III,Movie,99,David Fairhead,The story of the fighter plane and pilots that helped win the Battle of Britain in World War II.
tt5913184,2018,Spitfire III,Movie,99,Ant Palmer,The story of the fighter plane and pilots that helped win the Battle of Britain in World War II.
tt0361596,2004,Fahrenheit 9/11,Movie,122,Michael Moore,Michael Moore's view on what happened to the United States after September 11; and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.
tt4382552,2015,Hot Girls Wanted,Movie,84,Jill Bauer,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.
tt4382552,2015,Hot Girls Wanted,Movie,84,Ronna Gradus,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.
tt5740866,2018,Whitney,Movie,120,Kevin Macdonald,An in-depth look at the life and music of Whitney Houston.
tt6510332,2018,McQueen,Movie,111,Ian Bonhôte,"The life and career of fashion designer Lee Alexander McQueen: from his start as a tailor, to launching and overseeing his eponymous line, and his untimely death."
tt6510332,2018,McQueen,Movie,111,Peter Ettedgui,"The life and career of fashion designer Lee Alexander McQueen: from his start as a tailor, to launching and overseeing his eponymous line, and his untimely death."
tt8564902,2018,Death of a Nation,Movie,108,Dinesh D'Souza,This documentary draws parallels between the dramatic fracturing of the nation over Abraham Lincoln's presidency and the presidency of Donald Trump.
tt8564902,2018,Death of a Nation,Movie,108,Bruce Schooley,This documentary draws parallels between the dramatic fracturing of the nation over Abraham Lincoln's presidency and the presidency of Donald Trump.
tt7689964,2018,RBG,Movie,98,Julie Cohen,"The exceptional life and career of U.S. Supreme Court Justice Ruth Bader Ginsburg, who has developed a breathtaking legal legacy while becoming an unexpected pop culture icon."
tt7689964,2018,RBG,Movie,98,Betsy West,"The exceptional life and career of U.S. Supreme Court Justice Ruth Bader Ginsburg, who has developed a breathtaking legal legacy while becoming an unexpected pop culture icon."
tt5644050,2018,Pick of the Litter,Movie,81,Don Hardy Jr.,"Pick of the Litter follows a litter of puppies from the moment they're born and begin their quest to become Guide Dogs for the Blind, the ultimate canine career. Cameras follow these pups ... See full summary »"
tt5644050,2018,Pick of the Litter,Movie,81,Dana Nachman,"Pick of the Litter follows a litter of puppies from the moment they're born and begin their quest to become Guide Dogs for the Blind, the ultimate canine career. Cameras follow these pups ... See full summary »"
tt8465676,2018,Hannah Gadsby: Nanette,Movie,69,Jon Olb,New Hannah Gadsby stand up comedy.
tt8465676,2018,Hannah Gadsby: Nanette,Movie,69,Madeleine Parry,New Hannah Gadsby stand up comedy.
tt5788462,2016,Rocco,Movie,105,Thierry Demaizière,A behind-the-scene account of the porn world and its stars as they've never been seen before - and the no-holds-barred portrait of a true giant.
tt5788462,2016,Rocco,Movie,105,Alban Teurlai,A behind-the-scene account of the porn world and its stars as they've never been seen before - and the no-holds-barred portrait of a true giant.
tt0310793,2002,Bowling for Columbine,Movie,120,Michael Moore,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.
tt6333060,2017,Icarus,Movie,121,Bryan Fogel,"When Bryan Fogel sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller... See full summary »"
tt8527036,2018,Inside the Manson Cult: The Lost Tapes,Movie,120,Hugh Ballantyne,"A retelling of the Manson story using original, archived 16mm footage."
tt7689940,2018,The Oslo Diaries,Movie,97,Mor Loushy,A group of Israelis and Palestinians come together in Oslo for an unsanctioned peace talks during the 1990s in order to bring peace to the Middle East.
tt7689940,2018,The Oslo Diaries,Movie,97,Daniel Sivan,A group of Israelis and Palestinians come together in Oslo for an unsanctioned peace talks during the 1990s in order to bring peace to the Middle East.
tt5844196,2018,Hal,Movie,90,Amy Scott,"Hal Ashby's obsessive genius led to an unprecedented string of Oscar®-winning classics, including Harold and Maude, Shampoo and Being There. But as contemporaries Coppola, Scorsese and ... See full summary »"
tt5556152,2018,Pistorius,Movie,225,Vaughan Sivell,"PISTORIUS is a feature documentary about the South African Paralympic and Olympic sprinter Oscar Pistorius, who shot and killed his girlfriend in the early hours of Valentine's Day 2013. ... See full summary »"
